City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2018-03-10,75.67,171.69,16.27,39.85,47.05,39.35,0.95,14.8,41.74,1.36,4.0,0.0,207.0,Poor
Delhi,2018-03-11,88.3,183.74,23.14,41.81,55.86,39.62,1.08,15.41,46.28,1.28,3.12,0.0,179.0,Moderate
Delhi,2018-03-12,105.29,223.67,28.38,45.32,65.27,42.8,1.18,17.48,44.49,1.29,3.51,0.0,236.0,Poor
Delhi,2018-03-13,109.22,245.66,41.54,56.5,73.67,42.23,1.54,17.22,43.79,1.87,4.78,0.0,241.0,Poor
Delhi,2018-03-14,116.62,328.98,60.02,64.82,87.49,40.47,1.63,17.39,48.03,2.85,5.34,0.0,287.0,Poor
Delhi,2018-03-15,108.98,314.72,36.34,48.86,66.89,43.23,1.23,16.08,37.77,3.53,5.3,0.0,314.0,Very Poor
Delhi,2018-03-16,111.67,256.67,27.56,41.48,62.19,42.2,1.09,16.61,43.04,4.14,4.59,0.0,269.0,Poor
Delhi,2018-03-17,81.57,170.16,21.81,32.61,44.69,33.72,1.09,13.63,37.89,1.73,2.68,0.0,218.0,Poor
Delhi,2018-03-18,82.15,173.07,18.88,31.72,41.03,30.32,1.2,17.22,45.83,0.93,2.17,0.0,177.0,Moderate
Delhi,2018-03-19,81.93,197.13,28.38,43.85,62.83,37.7,1.1,16.95,44.89,1.06,4.02,0.0,177.0,Moderate
Delhi,2018-03-20,109.99,249.2,44.27,55.71,82.08,44.26,1.42,20.52,51.95,3.19,7.16,0.0,224.0,Poor
Delhi,2018-03-21,133.53,280.94,30.35,45.33,66.03,49.85,1.36,24.36,52.82,4.03,5.93,0.0,302.0,Very Poor
Delhi,2018-03-22,83.4,176.02,13.53,33.49,41.53,42.95,1.0,17.14,45.99,1.92,3.93,0.0,226.0,Poor
Delhi,2018-03-23,64.2,151.45,14.86,34.53,42.49,34.91,0.89,12.75,46.6,1.57,3.61,0.0,171.0,Moderate
Delhi,2018-03-24,78.4,186.62,15.2,37.32,44.39,35.84,0.91,14.56,50.02,2.36,3.53,0.0,183.0,Moderate
Delhi,2018-03-25,85.34,190.95,11.77,34.66,41.31,37.35,0.96,15.57,54.47,1.74,2.91,0.0,202.0,Poor
Delhi,2018-03-26,85.9,198.67,19.04,41.2,51.42,36.49,1.06,16.28,52.72,2.64,3.4,0.0,203.0,Poor
Delhi,2018-03-27,111.26,256.4,42.38,60.75,76.0,37.92,1.52,18.5,49.55,4.42,5.92,0.0,246.0,Poor
Delhi,2018-03-28,117.78,280.25,55.87,71.04,79.52,37.48,1.74,16.27,57.85,6.14,7.37,0.0,293.0,Poor
Delhi,2018-03-29,95.98,217.49,17.1,41.56,49.23,37.18,1.01,16.53,57.43,2.72,3.78,0.0,238.0,Poor
Delhi,2018-03-30,96.45,241.13,21.45,45.84,58.22,37.57,1.11,15.95,58.75,3.12,5.64,0.0,234.0,Poor
Delhi,2018-03-31,101.59,292.49,25.6,44.76,57.92,42.4,1.17,16.59,67.56,2.96,5.24,0.0,269.0,Poor
Delhi,2018-04-01,75.14,199.8,15.98,37.97,46.42,37.86,1.01,14.13,68.76,2.97,3.11,0.0,217.0,Poor
Delhi,2018-04-02,96.38,241.96,26.07,48.52,64.03,43.29,1.22,16.54,64.33,3.33,4.77,0.0,217.0,Poor
Delhi,2018-04-03,101.18,252.21,27.42,51.63,66.35,45.56,1.28,17.36,67.6,3.22,4.13,0.0,239.0,Poor
Delhi,2018-04-04,111.82,262.69,32.79,52.51,69.5,50.48,1.44,16.58,65.46,2.64,4.85,0.0,244.0,Poor
Delhi,2018-04-05,152.56,337.64,43.18,60.24,76.02,49.53,1.76,19.67,64.73,4.62,6.26,0.0,329.0,Very Poor
Delhi,2018-04-06,100.5,231.2,25.66,44.92,62.14,43.35,1.42,19.96,54.04,2.64,4.14,0.0,271.0,Poor
Delhi,2018-04-07,48.46,132.97,18.92,36.94,50.39,42.48,1.12,10.48,54.42,1.43,3.32,0.0,170.0,Moderate
Delhi,2018-04-08,50.27,137.52,13.22,34.29,41.32,44.48,1.09,10.5,56.29,0.95,2.63,0.0,142.0,Moderate
Delhi,2018-04-09,49.56,123.41,24.07,39.45,53.81,44.12,1.35,10.77,42.76,2.34,4.47,0.0,133.0,Moderate
Delhi,2018-04-10,93.89,251.98,35.24,45.16,65.04,52.07,1.57,12.65,60.94,4.38,13.51,0.0,205.0,Poor
Delhi,2018-04-11,48.61,125.53,16.25,32.33,41.68,39.88,0.99,11.21,46.34,4.24,11.48,0.0,179.0,Moderate
Delhi,2018-04-12,46.21,109.03,20.89,40.94,49.98,33.55,1.3,10.07,48.2,4.98,6.09,0.0,135.0,Moderate
Delhi,2018-04-13,83.96,196.02,34.37,54.68,64.81,36.1,1.78,13.37,47.74,1.6,3.64,0.0,201.0,Poor
Delhi,2018-04-14,97.16,235.01,42.69,59.41,73.26,39.49,2.12,15.77,47.69,2.45,4.84,0.0,233.0,Poor
Delhi,2018-04-15,107.36,258.52,49.0,67.79,75.59,40.66,2.26,17.56,53.47,3.68,4.67,0.0,240.0,Poor
Delhi,2018-04-16,119.75,334.05,51.52,76.17,79.53,46.53,2.51,21.02,55.85,4.66,6.12,0.0,296.0,Poor
Delhi,2018-04-17,81.97,260.67,35.67,57.84,69.28,39.2,1.56,13.57,49.19,3.36,3.77,0.0,266.0,Poor
Delhi,2018-04-18,73.44,256.18,16.91,40.44,46.57,33.33,1.04,13.29,51.01,1.72,2.79,0.0,216.0,Poor
Delhi,2018-04-19,89.49,282.24,27.08,51.78,62.47,35.35,1.19,16.76,53.3,2.44,3.63,0.0,242.0,Poor
Delhi,2018-04-20,100.01,385.04,20.62,40.56,49.75,36.14,0.91,15.55,48.98,2.23,3.71,0.0,271.0,Poor
Delhi,2018-04-21,119.24,480.07,9.64,30.99,35.73,31.94,0.89,12.08,61.05,1.13,2.73,0.0,444.0,Severe
Delhi,2018-04-22,62.06,208.53,9.34,31.63,35.38,29.3,0.85,16.92,60.81,1.43,2.24,0.0,302.0,Very Poor
Delhi,2018-04-23,76.11,219.94,17.48,39.43,43.95,27.09,1.03,12.89,63.78,1.83,3.31,0.0,197.0,Moderate
Delhi,2018-04-24,108.64,274.05,27.8,57.07,61.05,32.19,1.28,17.01,59.45,3.36,5.14,0.0,242.0,Poor
Delhi,2018-04-25,117.56,313.41,46.07,82.47,77.25,31.94,2.02,15.1,48.81,6.04,8.18,0.0,287.0,Poor
Delhi,2018-04-26,142.82,397.1,44.46,78.5,78.44,41.32,2.09,17.89,65.07,5.52,6.76,0.0,329.0,Very Poor
Delhi,2018-04-27,107.47,336.49,22.69,49.86,54.16,51.03,1.41,12.96,69.49,2.86,4.75,0.0,351.0,Very Poor
Delhi,2018-04-28,84.13,316.52,11.33,36.11,41.23,44.78,1.14,12.38,75.5,1.7,3.23,0.0,288.0,Poor
Delhi,2018-04-29,89.1,259.12,13.32,42.57,48.22,47.69,1.26,16.1,69.07,1.87,3.3,0.0,259.0,Poor
Delhi,2018-04-30,79.3,214.51,21.81,46.42,58.38,49.72,1.12,11.9,60.39,1.71,3.66,0.0,221.0,Poor
Delhi,2018-05-01,54.88,165.91,11.11,33.37,41.04,44.37,0.81,8.8,65.54,1.18,1.91,0.0,173.0,Moderate
Delhi,2018-05-02,66.74,189.28,14.43,34.14,42.86,37.69,1.02,7.65,64.55,1.19,1.84,0.0,161.0,Moderate
Delhi,2018-05-03,47.25,153.75,15.63,31.77,40.96,38.01,1.23,9.52,50.16,0.94,2.3,0.0,167.0,Moderate
Delhi,2018-05-04,49.09,123.82,11.61,30.44,37.96,38.61,1.17,9.06,59.09,1.41,2.55,0.0,146.0,Moderate
Delhi,2018-05-05,74.82,196.76,23.26,46.75,55.93,44.85,1.74,11.85,59.48,2.46,4.28,0.0,174.0,Moderate
Delhi,2018-05-06,110.48,290.63,42.39,53.69,71.2,44.57,2.05,14.61,57.57,3.75,5.89,0.0,280.0,Poor
Delhi,2018-05-07,111.95,302.1,42.33,54.75,76.02,45.99,2.2,16.31,57.48,3.61,5.38,0.0,243.0,Poor
Delhi,2018-05-08,61.0,177.71,10.01,27.66,32.84,27.14,1.31,6.97,61.42,1.37,2.67,0.0,252.0,Poor
Delhi,2018-05-09,71.99,177.76,19.68,46.09,56.74,43.68,1.46,12.35,53.1,1.93,4.49,0.0,168.0,Moderate
Delhi,2018-05-10,93.45,215.34,28.94,52.15,68.21,53.84,2.41,12.02,57.78,2.3,4.57,0.0,218.0,Poor
Delhi,2018-05-11,132.39,315.8,35.51,65.41,75.54,51.67,2.73,16.58,65.24,4.4,5.38,0.0,292.0,Poor
Delhi,2018-05-12,144.33,353.5,45.32,74.13,88.45,65.63,3.2,17.75,67.9,4.15,5.23,0.0,330.0,Very Poor
Delhi,2018-05-13,80.64,236.35,17.22,31.22,44.1,59.34,2.1,11.48,67.88,1.31,2.15,0.0,285.0,Poor
Delhi,2018-05-14,49.22,137.39,13.4,40.3,41.85,46.61,2.05,11.3,56.2,1.07,2.34,0.0,174.0,Moderate
Delhi,2018-05-15,67.23,177.03,13.34,39.81,43.92,49.62,1.91,11.9,62.52,1.85,3.06,0.0,173.0,Moderate
Delhi,2018-05-16,78.74,221.21,16.47,41.79,45.65,43.11,1.11,9.25,54.41,2.59,3.61,0.0,194.0,Moderate
Delhi,2018-05-17,105.99,288.92,17.3,44.14,44.55,45.08,0.85,13.61,70.39,1.84,3.94,0.0,240.0,Poor
Delhi,2018-05-18,96.96,241.99,27.74,53.88,63.16,54.12,1.07,13.97,58.67,3.02,5.04,0.0,254.0,Poor
Delhi,2018-05-19,103.98,284.44,49.67,65.52,81.75,55.99,1.46,12.48,57.66,5.23,6.98,0.0,270.0,Poor
Delhi,2018-05-20,83.66,228.61,20.35,45.88,50.04,45.4,1.08,12.65,55.77,2.72,5.24,0.0,231.0,Poor
Delhi,2018-05-21,71.25,209.67,14.16,42.68,48.33,41.07,0.91,12.73,60.27,3.04,5.34,0.0,208.0,Poor
Delhi,2018-05-22,91.16,243.14,28.41,59.07,60.5,40.31,1.17,15.56,59.41,3.53,6.23,0.0,207.0,Poor
Delhi,2018-05-23,129.23,324.0,53.83,77.28,86.18,46.95,1.66,17.57,59.46,5.79,9.66,0.0,306.0,Very Poor
Delhi,2018-05-24,114.13,298.07,37.09,57.51,67.13,51.03,1.34,17.78,53.43,3.1,6.97,0.0,303.0,Very Poor
Delhi,2018-05-25,83.88,249.82,42.75,59.34,63.04,36.45,1.31,12.73,48.95,4.03,6.57,0.0,260.0,Poor
Delhi,2018-05-26,103.02,263.49,41.7,64.88,61.71,37.33,1.47,14.9,49.85,4.77,6.65,0.0,244.0,Poor
Delhi,2018-05-27,97.37,314.96,31.92,58.31,57.05,35.05,1.1,11.59,56.75,3.73,4.64,0.0,268.0,Poor
Delhi,2018-05-28,117.56,290.96,29.36,54.01,57.51,48.36,1.33,15.54,59.11,2.77,5.02,0.0,276.0,Poor
Delhi,2018-05-29,112.6,312.18,41.22,60.34,66.84,51.9,1.4,11.93,59.1,3.88,5.4,0.0,303.0,Very Poor
Delhi,2018-05-30,65.76,295.94,13.19,33.21,42.64,54.38,0.95,8.58,59.9,1.2,1.85,0.0,272.0,Poor
Delhi,2018-05-31,71.99,235.22,14.54,40.76,44.17,50.49,1.0,9.71,50.6,1.88,3.53,0.0,223.0,Poor
Delhi,2018-06-01,79.98,233.97,8.65,30.14,33.87,48.38,0.81,8.24,58.87,1.48,3.18,0.0,196.0,Moderate
Delhi,2018-06-02,52.6,154.66,12.65,29.28,35.13,41.24,0.98,9.08,60.12,1.51,3.67,0.0,183.0,Moderate
Delhi,2018-06-03,59.52,140.21,16.93,31.51,43.09,43.82,0.84,7.79,57.87,1.32,3.37,0.0,154.0,Moderate
Delhi,2018-06-04,64.42,179.31,14.32,30.68,38.57,49.08,0.81,8.14,57.03,2.13,3.41,0.0,170.0,Moderate
Delhi,2018-06-05,61.72,152.57,9.58,27.67,32.62,43.21,0.82,7.51,48.46,2.52,4.69,0.0,160.0,Moderate
Delhi,2018-06-06,57.68,159.45,8.99,31.11,33.05,39.58,0.88,9.34,48.47,2.71,6.46,0.0,146.0,Moderate
Delhi,2018-06-07,73.77,165.33,10.21,33.8,37.99,40.17,0.96,10.1,60.18,4.76,6.4,0.0,166.0,Moderate
Delhi,2018-06-08,76.78,196.34,9.8,31.27,36.1,46.72,0.95,7.75,54.22,2.56,4.55,0.0,180.0,Moderate
Delhi,2018-06-09,52.79,136.75,10.94,27.39,36.36,40.4,0.9,6.41,41.95,2.72,4.57,0.0,153.0,Moderate
Delhi,2018-06-10,67.02,141.09,16.94,34.23,38.52,49.24,0.93,7.35,45.16,2.67,7.04,0.0,153.0,Moderate
Delhi,2018-06-11,73.22,218.14,11.9,34.85,35.75,48.15,0.9,6.94,46.66,2.57,5.41,0.0,186.0,Moderate
Delhi,2018-06-12,141.28,497.9,11.06,31.72,34.01,40.05,0.87,8.73,37.85,2.26,6.1,0.0,285.0,Poor
Delhi,2018-06-13,261.77,743.98,11.58,25.75,30.62,32.58,0.77,6.91,27.45,2.33,4.31,0.0,453.0,Severe
Delhi,2018-06-14,225.49,761.91,11.75,25.37,29.01,27.3,0.72,7.22,43.38,2.25,9.35,0.0,522.0,Severe
Delhi,2018-06-15,153.28,613.34,12.05,24.61,29.31,26.27,0.7,7.31,40.15,2.98,10.64,0.0,593.0,Severe
Delhi,2018-06-16,127.32,516.85,10.15,25.0,29.76,28.12,0.68,7.29,45.76,3.36,5.58,0.0,531.0,Severe
Delhi,2018-06-17,84.47,289.18,8.45,22.78,27.88,27.53,0.68,6.18,44.56,2.78,6.3,0.0,384.0,Very Poor
Delhi,2018-06-18,61.06,166.71,11.44,26.68,31.17,33.27,0.77,7.71,46.41,2.82,8.24,0.0,179.0,Moderate
Delhi,2018-06-19,52.76,152.06,10.85,26.52,29.02,31.25,0.68,6.5,53.39,3.73,8.34,0.03,146.0,Moderate
Delhi,2018-06-20,67.55,201.22,13.82,33.71,37.25,36.03,0.77,10.05,60.2,4.51,10.83,0.0,175.0,Moderate
Delhi,2018-06-21,76.98,273.16,11.17,34.82,35.93,38.44,0.75,9.73,66.75,3.89,11.19,0.0,221.0,Poor
Delhi,2018-06-22,83.98,247.55,23.62,45.06,53.22,44.46,0.99,12.38,64.38,4.69,13.08,21.62,249.0,Poor
Delhi,2018-06-23,81.33,242.29,17.78,44.23,49.29,44.27,0.96,11.68,66.18,4.26,13.63,18.61,228.0,Poor
Delhi,2018-06-24,54.15,163.89,10.39,34.98,37.1,34.64,0.77,13.73,59.17,2.66,10.24,7.98,194.0,Moderate
Delhi,2018-06-25,46.9,155.61,10.81,34.92,31.12,32.64,0.74,12.17,39.06,1.93,11.0,2.05,168.0,Moderate
Delhi,2018-06-26,29.98,92.12,8.89,34.16,26.14,35.67,0.72,13.16,33.09,1.81,17.81,0.76,128.0,Moderate
Delhi,2018-06-27,52.48,111.4,9.03,31.0,25.96,44.57,0.84,10.43,44.04,2.24,22.29,1.31,126.0,Moderate
Delhi,2018-06-28,30.07,71.42,8.68,29.01,23.9,44.84,0.76,8.48,33.17,1.65,18.35,0.44,99.0,Satisfactory
Delhi,2018-06-29,37.11,84.12,10.99,30.43,26.78,42.44,0.87,9.36,31.43,2.22,17.18,1.01,90.0,Satisfactory
Delhi,2018-06-30,41.41,103.75,10.42,32.89,28.23,40.71,0.91,9.55,31.21,2.3,21.04,1.02,113.0,Moderate
Delhi,2018-07-01,34.18,97.81,10.82,28.46,26.45,44.47,0.78,8.53,28.09,1.56,20.66,1.0,102.0,Moderate
Delhi,2018-07-02,34.24,122.23,7.87,25.74,22.61,36.17,0.65,8.82,33.79,0.98,15.01,0.37,111.0,Moderate
Delhi,2018-07-03,44.55,109.65,11.74,37.27,32.19,38.7,0.86,10.11,39.78,1.82,21.86,1.98,122.0,Moderate
Delhi,2018-07-04,45.76,113.75,8.01,31.17,25.67,37.0,0.78,10.14,45.71,1.88,22.27,5.74,128.0,Moderate
Delhi,2018-07-05,50.41,133.6,13.52,38.05,33.66,38.45,0.95,11.14,41.14,2.57,32.38,14.04,130.0,Moderate
Delhi,2018-07-06,57.12,163.19,16.15,36.71,35.28,48.7,0.94,10.27,40.01,2.31,31.73,3.26,147.0,Moderate
Delhi,2018-07-07,61.93,158.13,8.99,34.43,28.17,51.84,0.9,10.4,53.82,2.06,24.89,2.46,155.0,Moderate
Delhi,2018-07-08,68.2,179.05,14.86,39.85,35.86,57.11,0.98,11.6,65.27,2.31,30.07,2.62,176.0,Moderate
Delhi,2018-07-09,70.48,169.96,9.06,35.14,28.69,55.38,0.93,11.0,54.8,1.66,20.19,1.01,168.0,Moderate
Delhi,2018-07-10,47.48,112.45,7.74,28.19,24.09,47.18,0.81,10.92,43.89,1.07,17.31,0.24,140.0,Moderate
Delhi,2018-07-11,39.78,102.39,8.76,31.82,26.63,39.31,0.84,11.26,34.6,1.49,21.21,0.39,111.0,Moderate
Delhi,2018-07-12,46.53,127.08,10.21,34.22,28.48,35.01,0.76,10.92,45.16,1.49,21.79,1.1,130.0,Moderate
Delhi,2018-07-13,28.44,61.6,12.27,31.94,29.09,33.49,0.88,10.69,26.96,1.55,24.0,0.99,109.0,Moderate
Delhi,2018-07-14,33.82,70.35,13.24,31.63,31.3,34.11,0.84,11.13,29.2,1.81,29.69,1.03,96.0,Satisfactory
Delhi,2018-07-15,37.76,78.42,8.28,28.9,25.51,32.08,0.78,10.64,28.01,1.19,21.78,0.41,92.0,Satisfactory
Delhi,2018-07-16,37.32,83.03,13.87,33.31,32.44,36.19,0.96,9.51,23.59,1.61,31.33,1.3,95.0,Satisfactory
Delhi,2018-07-17,34.26,84.78,11.89,30.73,28.81,41.85,0.87,10.2,31.96,1.53,28.84,0.85,105.0,Moderate
Delhi,2018-07-18,37.76,97.11,12.45,29.45,28.39,46.23,0.82,11.04,32.43,1.48,25.94,0.83,114.0,Moderate
Delhi,2018-07-19,35.04,83.54,10.58,27.41,25.71,41.74,0.8,11.14,31.96,1.31,22.7,0.47,106.0,Moderate
Delhi,2018-07-20,37.26,80.33,12.22,33.46,30.45,38.54,0.89,10.4,24.18,1.87,30.82,0.91,90.0,Satisfactory
